perturb_std,method,final_eval_success,final_eval_reward,final_eval_steps,auc_success,time_to_0_8,interactions_to_0_8,total_runs,skipped_runs,valid_runs,summary_excludes_skipped
0.0,full,1.0,1.0,14.0,1.0,0.0,4786.0,3,0,3,1
0.0,lora,1.0,1.0,14.0,1.0,0.0,3753.6666666666665,3,0,3,1
0.25,full,1.0,1.0,14.0,0.6329113924050632,26.333333333333332,334908.3333333333,3,0,3,1
0.25,lora,0.6666666666666666,0.6666666666666666,26.0,0.6666666666666666,0.0,3737.0,3,0,3,1
0.5,full,1.0,1.0,12.666666666666666,0.9894514767932489,1.6666666666666667,26099.0,3,0,3,1
0.5,lora,1.0,1.0,13.333333333333334,0.8839662447257384,6.666666666666667,71407.66666666667,3,0,3,1
0.75,full,1.0,1.0,13.333333333333334,0.9472573839662447,5.0,54432.333333333336,3,0,3,1
0.75,lora,1.0,1.0,14.0,0.9156118143459916,8.333333333333334,94242.33333333333,3,0,3,1
